High Ground  10E-20  ONE MOM LTR CMM WOE
Snap  DDS-10  BLUEB
Talrand, Sky Summoner  DDS-11  RARE
Temporal Fissure  DDS-12  BLUEB
The Unspeakable  DDS-13  NEO SNC CLB DMU
Empty the Warrens  DDS-15  MBTWRED
Grapeshot  DDS-16  REDA
Young Pyromancer  DDS-20  REDB
Nucklavee  DDS-26  MULTICOLOR
Firebolt  DDS-37  REDB
Rampant Growth  DDS-48  GREENA
Roar of the Wurm  DDS-49  GREENA
Guttural Response  DDS-56  MHTWO AFR MID VOW NEO
Coat of Arms  DDS-58  RARE
Master of Waves  DDT-1  MBTWRM
Claustrophobia  DDT-3  BLUEB
Inkfathom Divers  DDT-8  BLUEA
Merfolk Looter  DDT-10  BLUEB
Mind Spring  DDT-14  RARE
Misdirection  DDT-15  RARE
Scroll Thief  DDT-17  BLUEA
Tidal Warrior  DDT-20  BLUEA
Triton Tactics  DDT-23  BLUEB
Wake Thrasher  DDT-24  MBTWRM
Brute Strength  DDT-35  REDA
Gempalm Incinerator  DDT-39  MBTWRED
Goblin Chieftain  DDT-41  ZNR KHM STX MHTWO AFR
Krenko, Mob Boss  DDT-52  RARE
Krenko's Command  DDT-53  REDB
Tarfire  DDT-55  REDB
Goblin Charbelcher  DDT-57  RARE
Elvish Archdruid  DDU-5  ZNR KHM STX MHTWO AFR
Ezuri's Archers  DDU-9  GREENB
Fierce Empath  DDU-10  GREENA
Ivy Lane Denizen  DDU-12  GREENB
Krosan Tusker  DDU-14  GREENB
Lead the Stampede  DDU-16  GREENA
Llanowar Empath  DDU-18  GREENA
Nissa's Judgment  DDU-21  MBTWGREEN
Faerie Mechanist  DDU-38  BLUEB
Treasure Mage  DDU-40  BLUEA
Trinket Mage  DDU-41  BLUEA
Galvanic Blast  DDU-45  REDA
Maverick Thopterist  DDU-50  MKM2
Reclusive Artificer  DDU-51  MULTICOLOR
Pyrite Spellbomb  DDU-60  MBTWRED
Solemn Simulacrum  DDU-62  RARE
Opal Lake Gatekeepers  DGM-16  CLB DMU BRO ONE MOM
Gruul War Chant  DGM-75  MBTWLMC
Master of Cruelties  DGM-82  MHTWO AFR MID VOW NEO
Beck  DGM-123a  ZNR KHM
Flesh  DGM-128a  VOW NEO CLB DMU
Give  DGM-129a  MBTWLMC
Wear  DGM-135a  FOIL
Maze's End  DGM-152  CLB DMU BRO
Celestial Ancient  DIS-7  MHTWO AFR MID VOW NEO
Condemn  DIS-8  MBTWWHITE
Proclamation of Rebirth  DIS-15  FOIL
Plaxmanta  DIS-29  MBTWBLUE
Spell Snare  DIS-33  MKM2
Ogre Gatecrasher  DIS-67  FOIL
Indrik Stomphowler  DIS-86  MBTWGREEN
Patagia Viper  DIS-89  MBTWGREEN
Utopia Sprawl  DIS-99  MBTWGREEN
Pain Magnification  DIS-121  LCI
Sky Hussar  DIS-131  ZNR KHM
Odds  DIS-153a  ZNR KHM STX MHTWO AFR
Magewright's Stone  DIS-162  FOIL
Rakdos Riteknife  DIS-164  LTR CMM
Walking Archive  DIS-169  STX MHTWO AFR MID VOW
Blood Crypt  DIS-171  VOW NEO CLB DMU
Ghost Quarter  DIS-173  MKM2
Burden of Guilt  DKA-4  MKM2
Counterlash  DKA-33  LTR CMM
Curse of Echoes  DKA-34  CLB DMU BRO MOM
Stormbound Geist  DKA-51  MBTWBLUE
Geralf's Messenger  DKA-63  VOW NEO CLB DMU
Pyreheart Wolf  DKA-101  MBTWRED
Dawntreader Elk  DKA-111  MBTWGREEN
Hunger of the Howlpack  DKA-119  MBTWGREEN
Strangleroot Geist  DKA-127  MBTWGREEN
Wild Hunger  DKA-132  MBTWGREEN
Young Wolf  DKA-134  MBTWGREEN
Diregraf Captain  DKA-135  ZNR KHM
Drogskol Captain  DKA-136  FOIL
Stromkirk Captain  DKA-143  LCI MKM2
Helvault  DKA-151  MID VOW NEO CLB
The Reaver Cleaver  DMC-8  LCI
Greensleeves, Maro-Sorcerer  DMC-27  WOE LCI
Echoing Truth  DMC-109  MBTWBLUE
Nomad Outpost  DMC-222  MBTWLMC
Ovinomancer  DMR-64  MBTWBLUE
Call of the Herd  DMR-153  MBTWGREEN
Destroy Evil  DMU-17  MBTWWHITE
Phyrexian Missionary  DMU-27  MBTWWHITE
Resolute Reinforcements  DMU-29  MBTWWHITE
Battlewing Mystic  DMU-43  MBTWBLUE
Protect the Negotiators  DMU-62  MBTWBLUE
Tolarian Terror  DMU-72  MBTWBLUE
Battle-Rage Blessing  DMU-80  MBTWBLACK
Shadow Prophecy  DMU-105  MBTWBLACK
Urborg Repossession  DMU-114  MBTWBLACK
Keldon Strike Team  DMU-136  MBTWRED
Meria's Outrider  DMU-138  MBTWRED
Smash to Dust  DMU-144  MBTWRED
Twinferno  DMU-149  MBTWRED
Tail Swipe  DMU-182  MBTWGREEN
Tear Asunder  DMU-183  MBTWGREEN
Elas il-Kor, Sadistic Pilgrim  DMU-198  CMM WOE LCI
Relic of Legends  DMU-236  MBTWLMC
Crystal Grotto  DMU-246  MBTWLMC
Sunlit Marsh  DMU-257  MBTWLMC
Adamant Will  DOM-2  MBTWWHITE
Aven Sentry  DOM-3  WHITEB
Baird, Steward of Argive  DOM-4  LTR CMM WOE LCI MBTWWHITE
Charge  DOM-10  WHITEB
Danitha Capashen, Paragon  DOM-12  WHITEA
Dauntless Bodyguard  DOM-14  MBTWWHITE
Evra, Halcyon Witness  DOM-16  RARE
Excavation Elephant  DOM-17  WHITEB
Fall of the Thran  DOM-18  BRO ONE MOM LTR
Healing Grace  DOM-20  WHITEB
History of Benalia  DOM-21  ZNR
On Serra's Wings  DOM-28  MBTWWHITE
Serra Disciple  DOM-34  WHITEB
Academy Journeymage  DOM-41  BLUEB
The Antiquities War  DOM-42  BRO ONE MOM LTR
Artificer's Assistant  DOM-44  BLUEA
Blink of an Eye  DOM-46  MBTWBLUE
Cloudreader Sphinx  DOM-47  BLUEB
Cold-Water Snapper  DOM-48  MBTWBLUE
Deep Freeze  DOM-50  BLUEA
Merfolk Trickster  DOM-56  MBTWBLUE
The Mirari Conjecture  DOM-57  RARE
Opt  DOM-60  BLUEB
Sage of Lat-Nam  DOM-64  BLUEB
Syncopate  DOM-67  BLUEB
Tempest Djinn  DOM-68  AFR MID VOW NEO SNC
Tetsuko Umezawa, Fugitive  DOM-69  MBTWBLUE
Time of Ice  DOM-70  MHTWO AFR MID VOW NEO MBTWBLUE
Wizard's Retort  DOM-75  CLB DMU BRO ONE MOM
Blessing of Belzenlok  DOM-77  BLACKB
Caligo Skin-Witch  DOM-80  BLACKB
Cast Down  DOM-81  DMU BRO ONE MOM LTR
Demonic Vigor  DOM-85  BLACKA
Drudge Sentinel  DOM-89  BLACKB
The Eldest Reborn  DOM-90  BLACKA
Feral Abomination  DOM-92  BLACKB
Fungal Infection  DOM-94  BLACKB
Phyrexian Scriptures  DOM-100  DMU BRO ONE MOM MBTWRM
Rat Colony  DOM-101  NEO CLB DMU BRO
Thallid Omnivore  DOM-106  BLACKA
Windgrace Acolyte  DOM-112  BLACKB
Yargle, Glutton of Urborg  DOM-113  BLACKA
Bloodstone Goblin  DOM-115  REDA
Fervent Strike  DOM-117  REDB
The Flame of Keld  DOM-123  ZNR KHM STX
Ghitu Chronicler  DOM-125  STX MHTWO AFR MID VOW
Ghitu Lavarunner  DOM-127  REDA
Goblin Chainwhirler  DOM-129  MBTWRM
Goblin Warchief  DOM-130  REDB MKM2
Jaya's Immolating Inferno  DOM-133  ZNR
Keldon Overseer  DOM-134  REDB
Rampaging Cyclops  DOM-139  REDB
Run Amok  DOM-140  REDB
Seismic Shift  DOM-141  REDA
Skirk Prospector  DOM-144  REDB
Two-Headed Giant  DOM-147  RARE
Adventurous Impulse  DOM-153  GREENB
Arbor Armament  DOM-155  GREENA
Baloth Gorger  DOM-156  GREENB
Broken Bond  DOM-157  GREENB
Gaea's Blessing  DOM-161  GREENA
Gaea's Protector  DOM-162  GREENA
Gift of Growth  DOM-163  GREENA
Krosan Druid  DOM-167  GREENA
The Mending of Dominaria  DOM-173  DMU BRO ONE MOM LTR
Pierce the Sky  DOM-176  GREENA
Saproling Migration  DOM-178  GREENA
Song of Freyalise  DOM-179  VOW NEO CLB DMU MBTWGREEN
Spore Swarm  DOM-180  MBTWGREEN
Yavimaya Sapherd  DOM-189  GREENA
Adeliz, the Cinder Wind  DOM-190  CMM WOE LCI
Muldrotha, the Gravetide  DOM-199  ZNR KHM STX
Raff Capashen, Ship's Mage  DOM-202  MULTICOLOR
Slimefoot, the Stowaway  DOM-205  ZNR KHM STX
Tatyova, Benthic Druid  DOM-206  MULTICOLOR
Teferi, Hero of Dominaria  DOM-207  MID VOW NEO
Forebear's Blade  DOM-214  LTR CMM WOE LCI
Helm of the Host  DOM-217  DMU BRO ONE MOM LTR
Icy Manipulator  DOM-219  COLORLESS
Mishra's Self-Replicator  DOM-223  BRO ONE MOM LTR CMM WOE
Powerstone Shard  DOM-227  BRO ONE MOM LTR
Short Sword  DOM-229  COLORLESS
Skittering Surveyor  DOM-230  MBTWLMC
Sorcerer's Wand  DOM-231  AFR MID VOW NEO
Weatherlight  DOM-237  ZNR KHM STX MHTWO AFR MID
Memorial to Genius  DOM-243  BRO ONE MOM LTR CMM WOE
Zhalfirin Void  DOM-249  MOM LTR CMM WOE
Bloodmark Mentor  DPA-40  MBTWRED
Stir the Pride  DST-16  MBTWWHITE
Pulse of the Grid  DST-29  MOM LTR CMM
Reshape  DST-31  MOM LTR CMM
Aether Snap  DST-37  MOM LTR CMM
Death Cloud  DST-40  MKM1
Echoing Decay  DST-41  FOIL
Karstoderm  DST-77  MBTWGREEN
Stand Together  DST-84  MBTWGREEN
Aether Vial  DST-91  MHTWO
Arcbound Overseer  DST-99  MHTWO AFR MID VOW NEO
Arcbound Slith  DST-102  ZNR KHM STX MHTWO AFR
Darksteel Ingot  DST-112  MBTWLMC
Eater of Days  DST-120  OLDFRAME
Geth's Grimoire  DST-123  ONE MOM LTR CMM WOE FOIL
Mirrodin's Core  DST-165  FOIL
Scion of Ugin  DTK-1  NEO CLB DMU BRO
Artful Maneuver  DTK-4  WHITEA
Center Soul  DTK-8  WHITEA
Champion of Arashin  DTK-9  WHITEB
Dragon's Eye Sentry  DTK-11  WHITEA
Enduring Victory  DTK-16  WHITEA
Glaring Aegis  DTK-18  WHITEA
Sandstorm Charger  DTK-34  WHITEB
Shieldhide Dragon  DTK-37  MBTWWHITE
Belltoll Dragon  DTK-46  MBTWBLUE
Contradict  DTK-49  BLUEA
Dirgur Nemesis  DTK-51  BLUEB
Glint  DTK-55  BLUEA
Gudul Lurker  DTK-56  MBTWBLUE
Gurmag Drowner  DTK-57  BLUEA
Monastery Loremaster  DTK-63  BLUEA
Ojutai Interceptor  DTK-66  BLUEB
Ojutai's Breath  DTK-67  BLUEA
Profaner of the Dead  DTK-70  VOW NEO SNC CLB DMU
Silumgar Sorcerer  DTK-76  VOW NEO CLB DMU
Youthful Scholar  DTK-84  BLUEA
Coat with Venom  DTK-91  BLACKA
Defeat  DTK-97  BLACKA
Gravepurge  DTK-104  BLACKA
Marsh Hulk  DTK-109  BLACKA
Pitiless Horde  DTK-112  LTR CMM WOE LCI
Reckless Imp  DTK-115  BLACKA
Shambling Goblin  DTK-118  BLACKA
Sidisi, Undead Vizier  DTK-120  MID VOW NEO SNC
Silumgar Butcher  DTK-122  BLACKA
Atarka Efreet  DTK-128  REDB
Berserkers' Onslaught  DTK-130  MBTWRM
Hardened Berserker  DTK-139  REDA
Impact Tremors  DTK-140  REDA
Kolaghan Stormsinger  DTK-145  REDB
Rending Volley  DTK-150  MBTWRED
Roast  DTK-151  REDB
Sarkhan's Rage  DTK-153  REDA
Screamreach Brawler  DTK-155  REDA
Summit Prowler  DTK-160  REDB
Vandalize  DTK-165  REDA
Volcanic Rush  DTK-166  REDA
Aerie Bowmasters  DTK-170  GREENB
Ainok Survivalist  DTK-172  GREENB
Conifer Strider  DTK-179  GREENB
Dragon-Scarred Bear  DTK-183  GREENA
Epic Confrontation  DTK-185  GREENB
Glade Watcher  DTK-188  GREENA
Guardian Shield-Bearer  DTK-189  GREENB
Pinion Feast  DTK-195  GREENB
Shape the Sands  DTK-205  GREENA
Cunning Breezedancer  DTK-215  WOE LCI MULTICOLOR
Dragonlord Atarka  DTK-216  MHTWO
Dragonlord Dromoka  DTK-217  AFR MID VOW NEO
Dragonlord Ojutai  DTK-219  MOM LTR CMM WOE RARE
Dromoka's Command  DTK-221  MBTWRM
Kolaghan's Command  DTK-224  RARE
Tapestry of the Ages  DTK-246  NEO CLB DMU BRO
Akroma, Angel of Wrath  DVD-1  MBTWRM
Aerial Responder  E01-2  MBTWWHITE
Excoriate  E01-5  WHITEA
Gideon Jura  E01-10  RARE
Grasp of the Hieromancer  E01-13  WHITEA
Sun Titan  E01-21  MHTWO AFR MID VOW NEO
Ior Ruin Expedition  E01-25  BLUEB
Windrider Eel  E01-30  BLUEB
Reckless Spite  E01-37  BLACKA
Battle-Rattle Shaman  E01-40  REDB
Blood Ogre  E01-41  REDA
Flametongue Kavu  E01-48  REDB
Gorehorn Minotaurs  E01-49  REDA
Guttersnipe  E01-51  STX MHTWO AFR MID VOW
Lightning Bolt  E01-54  REDB
Stormblood Berserker  E01-58  REDA
Sudden Demise  E01-59  RARE
Sylvan Bounty  E01-74  GREENA
Turntimber Basilisk  E01-76  GREENA
Woodborn Behemoth  E01-79  GREENA
Extract from Darkness  E01-84  MULTICOLOR
Slave of Bolas  E01-86  MULTICOLOR
Sword of the Animist  E01-89  RARE
Beacon of Immortality  E02-1  RARE
Path to Exile  E02-3  WHITEA
Blatant Thievery  E02-8  MBTWRM
Concentrate  E02-9  BLUEB
Vampire Nighthawk  E02-23  BLACKA
Borderland Ranger  E02-31  GREENB
Jungle Barrier  E02-38  MULTICOLOR
Zealous Persecution  E02-41  MULTICOLOR
All That Glitters  ELD-2  LTR CMM WOE LCI MBTWWHITE
Archon of Absolution  ELD-3  MBTWWHITE
Bartered Cow  ELD-6  WHITEA
Charming Prince  ELD-8  WOE LCI MBTWRM
Faerie Guidemother  ELD-11a  MBTWWHITE
Flutterfox  ELD-12  NEO CLB DMU BRO
Fortifying Provisions  ELD-13  LTR CMM WOE LCI
Giant Killer  ELD-14a  WOE LCI
Hushbringer  ELD-18  MBTWRM
Linden, the Steadfast Queen  ELD-20  MOM LTR CMM WOE
Lonesome Unicorn  ELD-21a  WHITEA
Shepherd of the Flock  ELD-28a  MBTWWHITE
Shining Armor  ELD-29  WHITEA
Silverflame Squire  ELD-31a  MBTWWHITE
Syr Alin, the Lion's Claw  ELD-32  MBTWWHITE
True Love's Kiss  ELD-34  MBTWWHITE
Midnight Clock  ELD-54  MID VOW NEO SNC CLB
Syr Elenora, the Discerning  ELD-67  BLUEA
Tome Raider  ELD-68  MBTWBLUE
Wishful Merfolk  ELD-73  BLUEA
Witching Well  ELD-74  MBTWBLUE
Bake into a Pie  ELD-76  WOE LCI
Barrow Witches  ELD-77  LTR CMM WOE LCI
Cauldron Familiar  ELD-81  WOE LCI
Epic Downfall  ELD-85  MBTWBLACK
Foulmire Knight  ELD-90a  WOE LCI
Murderous Rider  ELD-97a  MBTWRM
Order of Midnight  ELD-99a  MBTWBLACK
Reaper of Night  ELD-102a  BLACKA
Revenge of Ravens  ELD-104  MBTWBLACK
Syr Konrad, the Grim  ELD-107  MKM2 MBTWBLACK
Blow Your House Down  ELD-114  REDA
Bonecrusher Giant  ELD-115a  MBTWRM
Embercleave  ELD-120  WOE LCI
Embereth Shieldbreaker  ELD-122a  MBTWRED
Mad Ratter  ELD-130  WOE LCI MBTWRED
Merchant of the Vale  ELD-131a  MBTWRED
Rimrock Knight  ELD-137a  MBTWRED
Thrill of Possibility  ELD-146  REDA
Edgewall Innkeeper  ELD-151  CLB DMU BRO ONE
Fierce Witchstalker  ELD-154  MID VOW NEO CLB
Oakhame Adversary  ELD-167  MBTWGREEN
Once Upon a Time  ELD-169  WOE LCI
Outmuscle  ELD-170  MBTWGREEN
Questing Beast  ELD-171  WOE LCI MBTWRM
Return of the Wildspeaker  ELD-172  WOE LCI
Return to Nature  ELD-173  MBTWGREEN
Rosethorn Halberd  ELD-175  GREENA
Grumgully, the Generous  ELD-192  CMM WOE LCI
Maraleaf Pixie  ELD-196  WOE LCI
Outlaws' Merriment  ELD-198  SNC CLB DMU BRO
The Royal Scions  ELD-199  WOE LCI
Deathless Knight  ELD-208  STX MHTWO AFR MID VOW
Enchanted Carriage  ELD-218  WOE LCI
Heraldic Banner  ELD-222  MBTWLMC
Lucky Clover  ELD-226  CLB DMU BRO ONE
Signpost Scarecrow  ELD-231  MID VOW NEO CLB
Sorcerer's Broom  ELD-232  COLORLESS
Stonecoil Serpent  ELD-235  WOE LCI
Witch's Oven  ELD-237  MID VOW NEO CLB
Castle Garenbrig  ELD-240  WOE LCI
Brazen Borrower  ELD-281a  ZNR
Bonecrusher Giant  ELD-291a  KHM
Beanstalk Giant  ELD-295a  KHM STX
Curious Pair  ELD-296a  ZNR
Kenrith, the Returned King  ELD-303  LTR CMM WOE LCI
Oko, the Trickster  ELD-309  WOE LCI
Thorn Mammoth  ELD-323  MBTWRM
Alela, Artful Provocateur  ELD-324  MBTWRM
Chulane, Teller of Tales  ELD-326  ZNR
Korvold, Fae-Cursed King  ELD-329  KHM AFR MID VOW NEO
Balance  EMA-2  MBTWRM
Ballynock Cohort  EMA-3  WHITEB
Coalition Honor Guard  EMA-6  WHITEB
Humble  EMA-14  WHITEB
Kor Hookmaster  EMA-18  WHITEB
Rally the Peasants  EMA-25  WHITEB
Seal of Cleansing  EMA-26  WHITEB
Wall of Omens  EMA-34  WHITEB
Deep Analysis  EMA-45  BLUEB
Dream Twist  EMA-47  BLUEB
Gaseous Form  EMA-51  BLUEA
Memory Lapse  EMA-60  BLUEB
Phyrexian Ingester  EMA-66  BLUEA
Prodigal Sorcerer  EMA-67  BLUEB
Serendib Efreet  EMA-70  RARE
Sprite Noble  EMA-73  MBTWBLUE
Tidal Wave  EMA-75  BLUEB
Warden of Evos Isle  EMA-76  BLUEA
Animate Dead  EMA-78  MHTWO AFR MID VOW BLACKB
Annihilate  EMA-79  BLACKA
Blightsoil Druid  EMA-80  BLACKB
Cabal Therapy  EMA-83  BLACKA
Deadbridge Shaman  EMA-85  BLACKB
Duress  EMA-86  BLACKA
Eyeblight's Ending  EMA-88  BLACKB
Havoc Demon  EMA-90  MBTWBLACK
Hymn to Tourach  EMA-92  DMU BRO ONE MOM LTR
Innocent Blood  EMA-94  BLACKB
Night's Whisper  EMA-100  BLACKB
Prowling Pangolin  EMA-104  BLACKA
Sengir Autocrat  EMA-105  MBTWBLACK
Skulking Ghost  EMA-107  BLACKB
Urborg Uprising  EMA-111  BLACKB
Vampiric Tutor  EMA-112  VOW NEO SNC CLB
Wake of Vultures  EMA-115  BLACKB
Avarax  EMA-117  REDB
Battle Squadron  EMA-118  MBTWRED
Flame Jab  EMA-131  REDA
Honden of Infinite Rage  EMA-134  MID VOW NEO CLB
Kird Ape  EMA-137  REDB
Mogg War Marshal  EMA-139  REDB
Orcish Oriflamme  EMA-140  REDB
Price of Progress  EMA-141  REDA
Seismic Stomp  EMA-146  REDB
Undying Rage  EMA-152  REDB
Wildfire Emissary  EMA-153  REDB
Abundant Growth  EMA-156  GREENB
Ancestral Mask  EMA-157  GREENA
Commune with the Gods  EMA-162  GREENB
Elephant Guide  EMA-163  GREENB
Fog  EMA-167  GREENB
Nimble Mongoose  EMA-179  GREENA
Roots  EMA-183  GREENB
Seal of Strength  EMA-184  GREENA
Timberwatch Elf  EMA-190  GREENA
Armadillo Cloak  EMA-195  MULTICOLOR
Brago, King Eternal  EMA-198  NEO SNC CLB DMU
Flame-Kin Zealot  EMA-201  MULTICOLOR
Ashnod's Altar  EMA-218  COLORLESS
Emmessi Tome  EMA-221  COLORLESS
Mana Crypt  EMA-225  RARE
Millikin  EMA-226  COLORLESS
Sensei's Divining Top  EMA-232  NEO SNC CLB DMU
Elder Deep-Fiend  EMN-5  LCI
Lashweed Lurker  EMN-9  ZNR KHM STX MHTWO AFR
Wretched Gryff  EMN-12  BLUEA
Borrowed Grace  EMN-14  WHITEA
Desperate Sentry  EMN-21  WHITEA
Faith Unbroken  EMN-24  MBTWWHITE
Faithbearer Paladin  EMN-25  WHITEB
Peace of Mind  EMN-36  WHITEA
Selfless Spirit  EMN-40  MID VOW NEO SNC CLB
Thalia's Lancers  EMN-47  RARE
Thraben Standard Bearer  EMN-48  WHITEA
Contingency Plan  EMN-52  BLUEA
Convolute  EMN-53  BLUEB
Displace  EMN-55  BLUEA
Enlightened Maniac  EMN-58  BLUEB
Fogwalker  EMN-60  BLUEA
Laboratory Brute  EMN-67  BLUEA
Turn Aside  EMN-78  BLUEA
Unsubstantiate  EMN-79  MBTWBLUE
Boon of Emrakul  EMN-81  BLACKA
Certain Death  EMN-84  BLACKA
Collective Brutality  EMN-85  RARE
Liliana, the Last Hope  EMN-93  STX
Thraben Foulbloods  EMN-108  BLACKA
Weirded Vampire  EMN-113  BLACKA
Alchemist's Greeting  EMN-116  REDA
Borrowed Hostility  EMN-121  REDA
Brazen Wolves  EMN-122  REDA
Distemper of the Blood  EMN-126  REDB
Prophetic Ravings  EMN-139  REDB
Thermo-Alchemist  EMN-147  MBTWRED
Backwoods Survivalists  EMN-150  GREENB
Crossroads Consecrator  EMN-154  GREENB
Eldritch Evolution  EMN-155  RARE
Hamlet Captain  EMN-161  GREENA
Ishkanah, Grafwidow  EMN-162  ZNR KHM STX MHTWO AFR MID
Noose Constrictor  EMN-164  MBTWGREEN
Wolfkin Bond  EMN-178  GREENA
Campaign of Vengeance  EMN-182  MULTICOLOR
Gisa and Geralf  EMN-183  VOW NEO SNC CLB MOM LTR CMM WOE
Mercurial Geists  EMN-186  MULTICOLOR
Nephalia Academy  EMN-205  STX MHTWO AFR MID VOW
Cenn's Enlistment  EVE-3  MBTWWHITE
Flickerwisp  EVE-6  MBTWWHITE
Recumbent Bliss  EVE-13  MBTWWHITE
Springjack Shepherd  EVE-15  ZNR KHM STX MHTWO FOIL
Needle Specter  EVE-39  MOM LTR CMM
Raven's Crime  EVE-41  MBTWBLACK
Soul Snuffers  EVE-45  MBTWBLACK
Hatchet Bully  EVE-54  MBTWRED
Stigma Lasher  EVE-62  MID VOW NEO CLB FOIL
Bloom Tender  EVE-66  OLDFRAME
Helix Pinnacle  EVE-68  ZNR KHM STX MHTWO AFR MID FOIL
Savage Conception  EVE-75  MBTWGREEN
Wickerbough Elder  EVE-80  MBTWGREEN
Batwing Brume  EVE-81  MBTWLMC
Bloodied Ghost  EVE-83  STX MHTWO AFR MID VOW
Unmake  EVE-96  MBTWLMC
Inside Out  EVE-103  MBTWLMC
Noggle Bandit  EVE-106  FOIL
Noggle Hedge-Mage  EVE-108  ZNR KHM STX MHTWO AFR
Balefire Liege  EVE-132  STX MHTWO AFR MID VOW NEO FOIL
Duergar Hedge-Mage  EVE-137  MBTWLMC
Moonhold  EVE-143  VOW NEO CLB DMU
Spitemare  EVE-147  MBTWLMC
Gilder Bairn  EVE-152  FOIL
Murkfiend Liege  EVE-156  VOW NEO CLB DMU
Slippery Bogle  EVE-160  MBTWLMC
Scarecrone  EVE-172  ZNR KHM STX MHTWO AFR MID
Ambush Commander  EVG-1  MBTWRM
Elvish Harbinger  EVG-4  MBTWGREEN
Akki Coalflinger  EVG-33  NEO CLB DMU BRO
Oath of Lieges  EXO-11  CMM
Pegasus Stampede  EXO-14  ZNR KHM STX MHTWO AFR
Reconnaissance  EXO-17  MBTWWHITE
Equilibrium  EXO-32  CMM
Fade Away  EXO-34  MBTWBLUE
Forbid  EXO-35  MBTWBLUE
Killer Whale  EXO-37  MBTWBLUE
Mana Breach  EXO-38  MBTWBLUE
Oath of Scholars  EXO-42  LTR CMM
Treasure Trove  EXO-50  AFR MID VOW NEO
Cursed Flesh  EXO-56  WOE LCI
Keeper of the Dead  EXO-65  MBTWBLACK
Volrath's Dungeon  EXO-78  CLB DMU BRO
Onslaught  EXO-92  MBTWRED
Pandemonium  EXO-93  DMU BRO MOM LTR
Price of Progress  EXO-95  MBTWRED
Sabertooth Wyvern  EXO-99  MBTWRED
Spellshock  EXO-104  MBTWRED
Avenging Druid  EXO-105  MBTWGREEN
Crashing Boars  EXO-108  MBTWGREEN
Elven Palisade  EXO-109  LTR CMM WOE LCI
Skyshroud Elite  EXO-123  MBTWGREEN
Spike Weaver  EXO-128  ZNR KHM STX MHTWO AFR
Wood Elves  EXO-130  MBTWGREEN
Erratic Portal  EXO-132  ZNR KHM STX MHTWO AFR MID VOW
Workhorse  EXO-142  ZNR KHM STX MHTWO
Abzan Runemark  FRF-3  WHITEA
Great-Horn Krushok  FRF-13  WHITEB
Monastery Mentor  FRF-20  ZNR KHM STX
Pressure Point  FRF-21  WHITEB
Soul Summons  FRF-26  WHITEA
Soulfire Grand Master  FRF-27  MBTWRM
Fascination  FRF-34  BLUEB
Jeskai Sage  FRF-38  BLUEA
Refocus  FRF-47  BLUEA
Shu Yun, the Silent Tempest  FRF-52  MBTWRM
Write into Being  FRF-59  BLUEA
Alesha's Vanguard  FRF-60  BLACKA
Ancestral Vengeance  FRF-61  BLACKA
Douse in Gloom  FRF-68  BLACKA
Merciless Executioner  FRF-76  MBTWBLACK
Noxious Dragon  FRF-77  BLACKB
Orc Sureshot  FRF-78  LTR CMM WOE LCI
Sultai Runemark  FRF-86  BLACKA
Alesha, Who Smiles at Death  FRF-90  RARE
Defiant Ogre  FRF-96  REDB
Fierce Invocation  FRF-98  REDB
Gore Swine  FRF-103  REDA
Humble Defector  FRF-104  MBTWRED
Lightning Shrieker  FRF-106  REDB
Pyrotechnics  FRF-111  REDA
Temur Battle Rage  FRF-116  REDA
Abzan Beastmaster  FRF-119  MBTWGREEN
Destructor Dragon  FRF-127  GREENA
Feral Krushok  FRF-128  GREENB
Formless Nurturing  FRF-129  GREENB
Frontier Mastodon  FRF-130  GREENA
Map the Wastes  FRF-134  GREENA
Shamanic Revelation  FRF-138  RARE
Temur Sabertooth  FRF-141  MBTWGREEN
Ethereal Ambush  FRF-152  MULTICOLOR
Grim Contest  FRF-153  MULTICOLOR
Silumgar, the Drifting Death  FRF-157  MBTWRM
Scroll of the Masters  FRF-163  STX MHTWO AFR MID VOW
Magus of the Moat  FUT-12  OLDFRAME
Spirit en-Dal  FUT-17  MBTWWHITE
Lumithread Field  FUT-25  FOIL
Delay  FUT-35  FOIL
Mystic Speculation  FUT-41  MBTWBLUE
Spellweaver Volute  FUT-59  FOIL
Augur of Skulls  FUT-63  MBTWBLACK
Bridge from Below  FUT-81  MHTWO
Korlash, Heir to Blackblade  FUT-87  ZNR KHM STX MHTWO
Tombstalker  FUT-91  ZNR KHM STX MHTWO AFR
Gathan Raiders  FUT-99  MBTWRED
Magus of the Moon  FUT-101  MID VOW NEO CLB
Fomori Nomad  FUT-114  ZNR KHM STX MHTWO
Storm Entity  FUT-122  MHTWO AFR MID VOW NEO
Force of Savagery  FUT-126  NEO CLB DMU BRO MOM
Heartwood Storyteller  FUT-127  STX MHTWO AFR MID VOW
Magus of the Vineyard  FUT-132  CMM
Sprout Swarm  FUT-138  MOM LTR CMM WOE
Wrap in Vigor  FUT-141  MBTWGREEN
Muraganda Petroglyphs  FUT-146  MOM LTR CMM
Tarmogoyf  FUT-153  MHTWO
Virulent Sliver  FUT-155  ONE MOM LTR CMM
Glittering Wish  FUT-156  FOIL
Jhoira of the Ghitu  FUT-157  DMU BRO
Akroma's Memorial  FUT-159  ZNR KHM STX MHTWO AFR MID
Cloud Key  FUT-160  AFR MID VOW NEO
Coalition Relic  FUT-161  DMU BRO MOM LTR
